ctname,rfgrp,popuni,ctname,stname,STABREV,state_deaths
"Abbeville County, SC",32.2,23925,Abbeville County,South Carolina,SC,3620.0
"Acadia Parish, LA",59.80000000000001,61894,Acadia Parish,Louisiana,LA,5194.0
"Accomack County, VA",59.80000000000001,32318,Accomack County,Virginia,VA,3466.0
"Ada County, ID",275.9999999999999,461076,Ada County,Idaho,ID,571.0
"Adair County, IA",18.4,7062,Adair County,Iowa,IA,1638.0
"Adair County, KY",36.800000000000004,18140,Adair County,Kentucky,KY,1492.0
"Adair County, MO",36.800000000000004,22709,Adair County,Missouri,MO,2814.0
"Adair County, OK",27.6,22057,Adair County,Oklahoma,OK,1418.0
"Adams County, CO",450.80000000000075,509857,Adams County,Colorado,CO,2094.0
"Adams County, IA",13.799999999999999,3641,Adams County,Iowa,IA,1638.0
"Adams County, ID",13.799999999999999,4231,Adams County,Idaho,ID,571.0
"Adams County, IL",87.39999999999998,65193,Adams County,Illinois,IL,8459.0
"Adams County, IN",36.800000000000004,35543,Adams County,Indiana,IN,4116.0
"Adams County, MS",46.00000000000001,29102,Adams County,Mississippi,MS,3124.0
"Adams County, ND",9.2,2294,Adams County,North Dakota,ND,375.0
"Adams County, NE",46.00000000000001,30510,Adams County,Nebraska,NE,636.0
"Adams County, OH",32.2,27673,Adams County,Ohio,OH,4890.0
"Adams County, PA",110.39999999999995,99992,Adams County,Pennsylvania,PA,8865.0
"Adams County, WA",27.6,19731,Adams County,Washington,WA,2056.0
"Adams County, WI",36.800000000000004,19219,Adams County,Wisconsin,WI,1675.0
"Addison County, VT",50.60000000000001,34585,Addison County,Vermont,VT,62.0
"Aiken County, SC",156.3999999999999,168155,Aiken County,South Carolina,SC,3620.0
"Aitkin County, MN",32.2,15823,Aitkin County,Minnesota,MN,2289.0
"Alachua County, FL",262.1999999999998,258080,Alachua County,Florida,FL,16059.0
"Alamance County, NC",170.19999999999987,161790,Alamance County,North Carolina,NC,2731.0
"Alameda County, CA",1665.199999999991,1647507,Alameda County,California,CA,16663.0
"Alamosa County, CO",23.0,15517,Alamosa County,Colorado,CO,2094.0
"Albany County, NY",349.60000000000025,293852,Albany County,New York,NY,11847.0
"Albany County, WY",50.60000000000001,36588,Albany County,Wyoming,WY,59.0
"Albemarle County, VA",105.79999999999995,102955,Albemarle County,Virginia,VA,3466.0
"Alcona County, MI",32.2,10334,Alcona County,Michigan,MI,6581.0
"Alcorn County, MS",36.800000000000004,36464,Alcorn County,Mississippi,MS,3124.0
"Aleutians East Borough, AK",9.2,3515,Aleutians East Borough,Alaska,AK,55.0
"Aleutians West Census Area, AK",13.799999999999999,5721,Aleutians West Census Area,Alaska,AK,55.0
"Alexander County, IL",23.0,6060,Alexander County,Illinois,IL,8459.0
"Alexander County, NC",36.800000000000004,36096,Alexander County,North Carolina,NC,2731.0
"Alexandria city, VA",179.39999999999986,159584,Alexandria city,Virginia,VA,3466.0
"Alfalfa County, OK",18.4,4741,Alfalfa County,Oklahoma,OK,1418.0
"Alger County, MI",23.0,8205,Alger County,Michigan,MI,6581.0
"Allamakee County, IA",27.6,13832,Allamakee County,Iowa,IA,1638.0
"Allegan County, MI",119.59999999999994,117138,Allegan County,Michigan,MI,6581.0
"Allegany County, MD",110.39999999999995,64373,Allegany County,Maryland,MD,4427.0
"Allegany County, NY",64.4,42613,Allegany County,New York,NY,11847.0
"Alleghany County, NC",18.4,11146,Alleghany County,North Carolina,NC,2731.0
"Alleghany County, VA",32.2,14871,Alleghany County,Virginia,VA,3466.0
"Allegheny County, PA",1853.7999999999872,1195762,Allegheny County,Pennsylvania,PA,8865.0
"Allen County, IN",446.2000000000007,372777,Allen County,Indiana,IN,4116.0
"Allen County, KS",27.6,12213,Allen County,Kansas,KS,962.0
"Allen County, KY",32.2,21043,Allen County,Kentucky,KY,1492.0
"Allen County, OH",156.3999999999999,98240,Allen County,Ohio,OH,4890.0
"Allen Parish, LA",27.6,21673,Allen Parish,Louisiana,LA,5194.0
"Allendale County, SC",18.4,7838,Allendale County,South Carolina,SC,3620.0
"Alpena County, MI",50.60000000000001,28243,Alpena County,Michigan,MI,6581.0
"Alpine County, CA",9.2,1101,Alpine County,California,CA,16663.0
"Amador County, CA",46.00000000000001,35221,Amador County,California,CA,16663.0
"Amelia County, VA",13.799999999999999,13013,Amelia County,Virginia,VA,3466.0
"Amherst County, VA",46.00000000000001,30768,Amherst County,Virginia,VA,3466.0
"Amite County, MS",18.4,12287,Amite County,Mississippi,MS,3124.0
"Anchorage Borough, AK",257.5999999999998,290214,Anchorage Borough,Alaska,AK,55.0
"Anderson County, KS",13.799999999999999,7859,Anderson County,Kansas,KS,962.0
"Anderson County, KY",27.6,22663,Anderson County,Kentucky,KY,1492.0
"Anderson County, SC",183.99999999999986,198842,Anderson County,South Carolina,SC,3620.0
"Anderson County, TN",87.39999999999998,76119,Anderson County,Tennessee,TN,2959.0
"Anderson County, TX",55.20000000000001,44747,Anderson County,Texas,TX,17706.0
"Andrew County, MO",23.0,17592,Andrew County,Missouri,MO,2814.0
"Andrews County, TX",23.0,18128,Andrews County,Texas,TX,17706.0
"Androscoggin County, ME",133.39999999999992,105942,Androscoggin County,Maine,ME,168.0
"Angelina County, TX",82.79999999999998,85554,Angelina County,Texas,TX,17706.0
"Anne Arundel County, MD",487.60000000000093,569665,Anne Arundel County,Maryland,MD,4427.0
"Anoka County, MN",386.40000000000043,352141,Anoka County,Minnesota,MN,2289.0
"Anson County, NC",32.2,22949,Anson County,North Carolina,NC,2731.0
"Antelope County, NE",18.4,6330,Antelope County,Nebraska,NE,636.0
"Antrim County, MI",41.400000000000006,23323,Antrim County,Michigan,MI,6581.0
"Apache County, AZ",78.19999999999999,71188,Apache County,Arizona,AZ,5227.0
"Appanoose County, IA",27.6,12410,Appanoose County,Iowa,IA,1638.0
"Appling County, GA",27.6,18213,Appling County,Georgia,GA,6746.0
"Appomattox County, VA",18.4,15841,Appomattox County,Virginia,VA,3466.0
"Aransas County, TX",32.2,23597,Aransas County,Texas,TX,17706.0
"Arapahoe County, CO",680.8000000000019,649245,Arapahoe County,Colorado,CO,2094.0
"Archer County, TX",18.4,8776,Archer County,Texas,TX,17706.0
"Archuleta County, CO",23.0,13739,Archuleta County,Colorado,CO,2094.0
"Arenac County, MI",36.800000000000004,14998,Arenac County,Michigan,MI,6581.0
"Arkansas County, AR",41.400000000000006,17667,Arkansas County,Arkansas,AR,1622.0
"Arlington County, VA",275.9999999999999,236350,Arlington County,Virginia,VA,3466.0
"Armstrong County, PA",91.99999999999997,65087,Armstrong County,Pennsylvania,PA,8865.0
"Armstrong County, TX",9.2,1892,Armstrong County,Texas,TX,17706.0
"Aroostook County, ME",114.99999999999994,66438,Aroostook County,Maine,ME,168.0
"Arthur County, NE",9.2,465,Arthur County,Nebraska,NE,636.0
"Ascension Parish, LA",69.0,124187,Ascension Parish,Louisiana,LA,5194.0
"Ashe County, NC",32.2,27068,Ashe County,North Carolina,NC,2731.0
"Ashland County, OH",55.20000000000001,51997,Ashland County,Ohio,OH,4890.0
