ctname,rfgrp,popuni,stname,STABREV,state_deaths,county_name
"Abbeville County, SC",32.2,23925,South Carolina,SC,3620.0,Abbeville County
"Acadia Parish, LA",59.80000000000001,61894,Louisiana,LA,5194.0,Acadia Parish
"Accomack County, VA",59.80000000000001,32318,Virginia,VA,3466.0,Accomack County
"Ada County, ID",275.9999999999999,461076,Idaho,ID,571.0,Ada County
"Adair County, IA",18.4,7062,Iowa,IA,1638.0,Adair County
"Adair County, KY",36.800000000000004,18140,Kentucky,KY,1492.0,Adair County
"Adair County, MO",36.800000000000004,22709,Missouri,MO,2814.0,Adair County
"Adair County, OK",27.6,22057,Oklahoma,OK,1418.0,Adair County
"Adams County, CO",450.80000000000075,509857,Colorado,CO,2094.0,Adams County
"Adams County, IA",13.799999999999999,3641,Iowa,IA,1638.0,Adams County
"Adams County, ID",13.799999999999999,4231,Idaho,ID,571.0,Adams County
"Adams County, IL",87.39999999999998,65193,Illinois,IL,8459.0,Adams County
"Adams County, IN",36.800000000000004,35543,Indiana,IN,4116.0,Adams County
"Adams County, MS",46.00000000000001,29102,Mississippi,MS,3124.0,Adams County
"Adams County, ND",9.2,2294,North Dakota,ND,375.0,Adams County
"Adams County, NE",46.00000000000001,30510,Nebraska,NE,636.0,Adams County
"Adams County, OH",32.2,27673,Ohio,OH,4890.0,Adams County
"Adams County, PA",110.39999999999995,99992,Pennsylvania,PA,8865.0,Adams County
"Adams County, WA",27.6,19731,Washington,WA,2056.0,Adams County
"Adams County, WI",36.800000000000004,19219,Wisconsin,WI,1675.0,Adams County
"Addison County, VT",50.60000000000001,34585,Vermont,VT,62.0,Addison County
"Aiken County, SC",156.3999999999999,168155,South Carolina,SC,3620.0,Aiken County
"Aitkin County, MN",32.2,15823,Minnesota,MN,2289.0,Aitkin County
"Alachua County, FL",262.1999999999998,258080,Florida,FL,16059.0,Alachua County
"Alamance County, NC",170.19999999999987,161790,North Carolina,NC,2731.0,Alamance County
"Alameda County, CA",1665.199999999991,1647507,California,CA,16663.0,Alameda County
"Alamosa County, CO",23.0,15517,Colorado,CO,2094.0,Alamosa County
"Albany County, NY",349.60000000000025,293852,New York,NY,11847.0,Albany County
"Albany County, WY",50.60000000000001,36588,Wyoming,WY,59.0,Albany County
"Albemarle County, VA",105.79999999999995,102955,Virginia,VA,3466.0,Albemarle County
"Alcona County, MI",32.2,10334,Michigan,MI,6581.0,Alcona County
"Alcorn County, MS",36.800000000000004,36464,Mississippi,MS,3124.0,Alcorn County
"Aleutians East Borough, AK",9.2,3515,Alaska,AK,55.0,Aleutians East Borough
"Aleutians West Census Area, AK",13.799999999999999,5721,Alaska,AK,55.0,Aleutians West Census Area
"Alexander County, IL",23.0,6060,Illinois,IL,8459.0,Alexander County
"Alexander County, NC",36.800000000000004,36096,North Carolina,NC,2731.0,Alexander County
"Alexandria city, VA",179.39999999999986,159584,Virginia,VA,3466.0,Alexandria city
"Alfalfa County, OK",18.4,4741,Oklahoma,OK,1418.0,Alfalfa County
"Alger County, MI",23.0,8205,Michigan,MI,6581.0,Alger County
"Allamakee County, IA",27.6,13832,Iowa,IA,1638.0,Allamakee County
"Allegan County, MI",119.59999999999994,117138,Michigan,MI,6581.0,Allegan County
"Allegany County, MD",110.39999999999995,64373,Maryland,MD,4427.0,Allegany County
"Allegany County, NY",64.4,42613,New York,NY,11847.0,Allegany County
"Alleghany County, NC",18.4,11146,North Carolina,NC,2731.0,Alleghany County
"Alleghany County, VA",32.2,14871,Virginia,VA,3466.0,Alleghany County
"Allegheny County, PA",1853.7999999999872,1195762,Pennsylvania,PA,8865.0,Allegheny County
"Allen County, IN",446.2000000000007,372777,Indiana,IN,4116.0,Allen County
"Allen County, KS",27.6,12213,Kansas,KS,962.0,Allen County
"Allen County, KY",32.2,21043,Kentucky,KY,1492.0,Allen County
"Allen County, OH",156.3999999999999,98240,Ohio,OH,4890.0,Allen County
"Allen Parish, LA",27.6,21673,Louisiana,LA,5194.0,Allen Parish
"Allendale County, SC",18.4,7838,South Carolina,SC,3620.0,Allendale County
"Alpena County, MI",50.60000000000001,28243,Michigan,MI,6581.0,Alpena County
